"question","answer"
"Apakah ada biaya yang harus dibayarkan untuk mengurus dokumen kependudukan khususnya KTP?","Semua pelayanan pengurusan dokumen kependudukan di Disdukcapil TIDAK DIPUNGUT BIAYA."
"Apakah KTP-el yang sudah habis masa berlakunya perlu diperpanjang kembali?","KTP-el yang diterbitkan sebelum tahun 2013 (Undang-Undang Nomor 24 Tahun 2013) secara otomatis berlaku seumur hidup dan tidak perlu diperpanjang."
"Apakah dokumen kependudukan yang sudah menggunakan tanda tangan elektronik memerlukan legalisir?","Tidak, karena sesuai dengan Peraturan Menteri Dalam Negeri Nomor 104 Tahun 2019, dokumen kependudukan dengan format digital (QR code dan Barcode) dan sudah ditandatangani secara elektronik tidak memerlukan legalisir."
"Bagaimana cara mengurus KTP untuk pemula?","Pemohon yang akan mengajukan datang langsung ke petugas perekaman KTP (Dinas Kependudukan dan Pencatatan Sipil/Kecamatan) dengan membawa fotokopi Kartu keluarga (KK) dan fotokopi akta kelahiran"
"Apakah bisa Cetak KTP Rusak/hilang luar domisili?","Bisa, dengan cara membawa Fotocopy Kartu keluarga (KK) dan KTP yg rusak/ hilang diserahkan kepada petugas yang ada Dinas Kependudukan dan Pencatatan Sipil"
"Apakah syarat untuk pengurus an KIA?","Mengisi formulir dan dilampiri fc Akte lahir anak, fc KK KTP orang tua dan pas foto 3x4 untuk anak umur 5 tahun keatas"
"Bagaimana bila Kartu Keluarga rusak atau hilang?","Pengajuan Cetak Ulang Kartu Keluarga karena rusak atau hilang dapat dilakukan secara di Dinas Kependudukan dan Pencatatan Sipil/Kecamatan dengan melampirkan surat kehilangan dari kepolisian dan /atau kk yang rusak"
"Bisakah membuat akta kelahiran jika orang tua tidak memiliki surat nikah / akta kawin atau ibu masih di bawah umur?","Bisa, dengan melampirkan; Surat kelahiran asli dari dokter / bidan / Rumah Sakit / penolong kelahiran KK dan KTP-el ibu kandung Surat Pertanggungjawaban Mutlak Pasangan Suami dan Istri Surat Keterangan Anak Seorang Ibu KTP Elektronik 2 orang saksi"
"Berapakah biaya yang harus dikeluarkan untuk pengurusan dokumen kependudukan (KK, KTP, KIA, Akta-akta) pada Disdukcapil kabupaten kepulauan anambas?","Semua pelayanan pengurusan dokumen kependudukan (KK, ΚΤΡ, ΚΙΑ, dan Akta-akta Pencatatan Sipil) pada Disdukcapil Kabupaten Kepulauan Anambas TIDAK DIPUNGUT BIAYA. Hal ini sesuai dengan ketentuan Pasal 79A Undang-Undang Nomor 24 Tahun 2013 tentang Administrasi Kependudukan."
"Apabila KTP-El saya hilang, rusak, patah, atau pudar, apakah saya bisa mendapatkan pengganti KTP-El yang baru dari Disdukcapil kabupaten kepulauan anambas?","KTP-El yang hilang dapat diganti dengan syarat melampirkan surat keterangan kehilangan dari kepolisian setempat. KTP-El yang rusak, patah, atau pudar dapat diganti dengan membawa KK dan/atau KTP-El yang rusak untuk ditukar dengan KTP-El yang baru."
"Apabila KTP-El saya sudah berlaku seumur hidup, namun terjadi perubahan data seperti alamat, status perkawinan, apakah dapat diganti dengan yang baru?","KTP-El yang berlaku seumur hidup dapat diganti dengan yang baru jika terjadi perubahan elemen data (alamat, status perkawinan, pekerjaan, tanda tangan, dan foto) sesuai dengan data terakhir yang tertulis dalam Kartu Keluarga (KK)."
"Apabila saya pernah melakukan perekaman KTP-El di kota/kabupaten lain, kemudian pindah ke kabupaten kepulauan anambas, apakah saya perlu melakukan perekaman ulang?","Tidak perlu. Data penduduk yang terekam dalam KTP-El seluruh Indonesia sudah tersedia dalam sistem informasi administrasi kependudukan (SIAK). Anda hanya perlu membawa KTP lama dan KK terbaru di Kabupaten Kepulauan Anambas untuk mendapatkan pengganti KTP-El yang baru. Namun, jika Anda belum pernah melakukan perekaman, Anda bisa melakukannya di Disdukcapil Kabupaten Kepulauan Anambas setelah proses pembuatan Kartu Keluarga selesai."
"Jika orang tua saya ingin membuat akta kelahiran namun tidak memiliki beberapa persyaratan seperti surat keterangan kelahiran dari penolong kelahiran, apakah akta kelahiran tersebut masih dapat diproses?","Solusinya adalah dengan menggunakan Surat Pernyataan Tanggung Jawab Mutlak (SPTJM) yang berisi kebenaran data kelahiran, yang ditandatangani oleh dua orang saksi. Hal ini sesuai dengan Peraturan Menteri Dalam Negeri Nomor 9 Tahun 2016 tentang percepatan peningkatan cakupan kepemilikan akta kelahiran."
"Pada hari apa dan jam berapakah pelayanan pengurusan dokumen kependudukan dibuka pada Dinas Dukcapil kabupaten kepulauan anambas?","Pelayanan pengurusan dokumen kependudukan pada Disdukcapil Kabupaten Kepulauan Anambas dibuka pada setiap hari kerja (Senin-Jum\at) dari pukul 08.00 s.d. 16.00 WIB."
"Berapakah biaya yang harus dikeluarkan untuk pengurusan dokumen kependudukan (KK, KTP, ΚΙΑ, Akta-akta) pada Disdukcapil kabupaten kepulauan anambas?","Semua pelayanan pengurusan dokumen kependudukan (KK, KTP, ΚΙΑ, dan Akta-akta Pencatatan Sipil) pada Disdukcapil Kabupaten Kepulauan Anambas tidak dipungut biaya. Hal ini sesuai dengan ketentuan Pasal 79A Undang-Undang Nomor 24 Tahun 2013 tentang Administrasi Kependudukan."
"Apakah saya harus memperpanjang kembali KTP-Elektronik yang sudah habis masa berlaku?","Semua KTP-el yang sudah diterbitkan sebelum Undang-Undang Nomor 24 Tahun 2013 diberlakukan (KTP-el keluaran tahun 2011) secara otomatis ditetapkan berlaku seumur hidup dan tidak perlu diperpanjang kembali. Hal ini sesuai dengan ketentuan Pasal 101 huruf C Undang-Undang Nomor 24 Tahun 2013 tentang Administrasi Kependudukan."
"Apabila KTP-el saya hilang, rusak, patah, atau pudar, apakah saya bisa mendapat pengganti KTP-el yang baru dari Disdukcapil kabupaten kepulauan anambas?","KTP-el yang hilang dapat diberikan penggantian baru apabila melampirkan surat keterangan kehilangan dari Kepolisian setempat. Bila KTP-el rusak, patah, atau pudar maka dapat diberikan pengganti baru dengan syarat membawa KK dan/atau KTP-el yang rusak, patah, atau pudar tersebut untuk ditukar dengan yang baru."
"Apabila KTP-el saya sudah berlaku seumur hidup, namun terjadi perubahan data seperti alamat atau status perkawinan, apakah dapat diganti dengan yang baru?","KTP-el yang berlaku seumur hidup dapat diganti dengan yang baru apabila terjadi perubahan elemen data (alamat, status perkawinan, pekerjaan, tanda tangan, dan foto) sesuai dengan data terakhir yang tertuang dalam Kartu Keluarga (KK)."
"Apabila saya pernah melakukan perekaman KTP-el di kota/kabupaten lain, kemudian pindah ke kabupaten kepulauan anambas, untuk mendapatkan KTP-el apakah saya perlu melakukan perekaman ulang?","Tidak perlu. Data penduduk yang terekam dalam KTP-el seluruh Indonesia sudah tersedia dalam Sistem Informasi Administrasi Kependudukan (SIAK) yang dituangkan dalam surat pindah ke Disdukcapil kabupaten/kota tujuan. Namun jika belum pernah melakukan perekaman KTP-el di mana pun, maka dapat melakukan perekaman di Disdukcapil Kabupaten Kepulauan Anambas setelah pembuatan KK selesai. Cukup membawa KTP lama dan KK terbaru untuk mendapatkan KTP-el pengganti."
"Apakah semua dokumen kependudukan sudah memakai tanda tangan elektronik?","Ya. Semua dokumen kependudukan (Kartu Keluarga, KTP-el, Akta Lahir, Akta Kematian, Akta Perkawinan, Akta Perceraian, SKPWNI) yang diterbitkan sejak Desember 2019 sudah ditandatangani secara elektronik dan tidak menggunakan stempel basah. Dokumen dengan tanda tangan elektronik (TTE) dalam bentuk QR Code atau Barcode merupakan dokumen resmi dari Dinas Kependudukan dan Pencatatan Sipil Kabupaten Kepulauan Anambas."
"Apakah DISDUKCAPIL kabupaten kepulauan anambas buka di hari libur?","Jam Pelayanan DISDUKCAPIL kabupaten Kepulauan anambas: Senin-Kamis pukul 08.00-16.00; Sabtu-Minggu libur."
"Berapakah biaya yang harus dikeluarkan untuk pengurusan dokumen kependudukan dan pencatatan sipil pada DISDUKCAPIL kabupaten kepulauan anambas?","Semua pelayanan pengurusan dokumen kependudukan dan pencatatan sipil pada DISDUKCAPIL Kabupaten Kepulauan Anambas tidak dipungut biaya. Hal ini sesuai dengan ketentuan Pasal 79A Undang-undang Nomor 24 Tahun 2013 Tentang Perubahan atas Undang-undang Nomor 23 Tahun 2006 Tentang Administrasi Kependudukan."
"KTP-el saya berlaku seumur hidup, namun terjadi perubahan data seperti alamat, status perkawinan, pekerjaan, dan lain-lain. Apakah dapat diganti dengan yang baru?","KTP-el yang berlaku seumur hidup dapat diganti dengan yang baru apabila terjadi perubahan elemen data (alamat, status perkawinan, pekerjaan, tanda tangan dan foto) sesuai dengan data terakhir yang tertuang dalam Kartu Keluarga."
"Bagaimana cara mengganti KTP, KK yang rusak / hilang?","Datang ke DISDUKCAPIL Kabupaten Kepulauan Anambas dengan membawa KTP/KK yang rusak, atau membawa Surat Keterangan Kehilangan dari Kepolisian jika hilang."
