No,RAG F1-Score,RAG Precision,RAG Recall,Tanpa RAG F1-Score,Tanpa RAG Precision,Tanpa RAG Recall
1,1.0,1.0,1.0,0.0,0.0,0.0
2,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,0.0,0.0,0.0
4,1.0,1.0,1.0,0.0,0.0,0.0
5,1.0,1.0,1.0,0.0,0.0,0.0
6,0.56,0.3889,1.0,0.286,0.286,0.286
7,1.0,1.0,1.0,0.0,0.0,0.0
8,0.77,0.625,1.0,0.333,0.24,0.533
9,0.286,1.0,0.1667,0.0,0.0,0.0
10,1.0,1.0,1.0,0.0,0.0,0.0
11,0.3294,0.2295,0.5833,0.3333,0.5,0.25
12,0.7368,0.7,0.7778,0.4211,0.4,0.4444
13,0.3684,0.2917,0.5,0.2553,0.3158,0.2143
14,0.566,0.4054,0.9375,0.3256,0.2593,0.4375
15,0.6154,0.4762,0.8696,0.4286,0.3636,0.5217
16,0.7619,0.7273,0.8,0.5,0.5,0.5
17,0.4565,0.3088,0.875,0.381,0.3077,0.5
18,0.7442,0.6154,0.9412,0.449,0.3438,0.6471
19,0.3824,0.2407,0.9286,0.2353,0.1622,0.4286
20,0.2957,0.1771,0.8947,0.2642,0.2059,0.3684
21,0.2947,0.1818,0.7778,0.2105,0.2,0.2222
22,0.6061,0.5556,0.6667,0.359,0.2917,0.4667
23,0.5714,0.5,0.6667,0.1538,0.1818,0.1333
24,0.6531,0.5333,0.8421,0.3478,0.2963,0.4211
25,0.5882,0.4167,1.0,0.2609,0.2308,0.3
26,0.9565,0.9167,1.0,0.439,0.4737,0.4091
27,0.6667,0.5484,0.85,0.4681,0.4074,0.55
28,0.593,0.4554,0.85,0.2549,0.3095,0.2167
29,0.7,0.5526,0.9545,0.5294,0.3913,0.8182
30,0.4906,0.5,0.4815,0.1154,0.12,0.1111
