Pertanyaan,Jawaban Chatbot,Referensi,Precision,Recall,F1 Score
Berapa nomor telepon resmi yang bisa dihubungi untuk layanan Kantor Disdukcapil Kepulauan Anambas?,,08216716-7449,,,
Apa alamat email resmi Disdukcapil Kepulauan Anambas?,,disdukcapil@anambaskab.go.id,,,
Siapa nama Kepala Dinas Kependudukan dan Pencatatan Sipil (Disdukcapil) Kabupaten Kepulauan Anambas saat ini sesuai struktur organisasi terkait?,,Ibu Heryana SE,,,
Siapa yang menjabat sebagai Kepala Bidang Pelayanan Pendaftaran Penduduk di Disdukcapil Kepulauan Anambas?,,Rian Adhi Wibawa SE,,,
Siapa nama penjabat Sekretaris di Dinas Kependudukan dan Pencatatan Sipil Kepulauan Anambas berdasarkan struktur organisasi public terbaru?,,Firmansyah SE,,,
Berapa hari standar layanan maksimal (waktu proses) pembuatan pemrosesan Kartu Keluarga dan KTP Elektronik di Disdukcapil Kepulauan Anambas setelah semua persyaratan diterima?,,Paling lama dalam waktu 2 hari kerja,,,
Di mana dan kapan Maklumat Pelayanan Disdukcapil Kepulauan Anambas yang ditandatangani oleh Kepala Dinas ditetapkan (tanggal dan tempat)?,,Tarempa 03 Januari 2023,,,
Bagaimana rincian jam hari operasional pelayanan Kantor Disdukcapil Kabupaten Kepulauan Anambas setiap minggunya?,,Melayani masyarakat setiap hari Senin hingga Jumat mulai pukul 08.00 hingga 16.00 WIB,,,
Apa kepanjangan dari huruf 'A' yang pertama pada penjabaran motto keselamatan dan keramahan 'BERMADAH' milik Disdukcapil Kepulauan Anambas?,,AKUNTABEL (Pelayanan dapat dipertanggungjawabkan sesuai peraturan),,,
Siapa figur nama Kepala UPTD Disdukcapil pemerintahan Kepulauan Anambas saat ini?,,Herman Kanedi S.A.P,,,
